id,property_m,property_f
1,"Periculos De Inteligent","Periculos de Inteligentă"
2,Formidabil,"Formidabilă"
3,"Năzdrăvan","Năzdrăvană"
4,"Trădat În Dragoste","Trădată În Dragoste"
5,"Îndrăzneț","Îndrăzneață"
6,"Cârlionțat","Cârlionțată"
7,Pletos,"Pletoasă"
8,"De Soi Ales","De Soi Ales"
9,"De Cursă Lungă","De Cursă Lungă"
10,Corsar,"Pirată"
11,Vicios,"Vicioasă"
12,"De Cursă Scurtă","De Cursă Scurtă"
13,"Căzut În Dizgrație","Căzută În Dizgrație"
14,Reabilitat,"Reabilitată"
15,KGBist,"KGBistă"
16,Jamaican,"Jamaicană"
17,Fermecat,"Fermecată"
18,"Însetat","Însetată"
19,Spectaculos,"Spectaculoasă"
20,"Nerușinat","Nerușinată"
21,"Rușinos","Rușinoasă"
22,"Desăvârșit","Desăvârșită"
23,"Neîmplinit","Neîmplinită"
24,Iubitor,Iubitoare
25,Isteric,"Isterică"
26,Extaziat,"Extaziată"
27,Turbat,"Turbată"
28,Abstinent,"Abstinentă"
29,Activ,"Activă"
30,Pasiv,"Pasivă"
31,"Urâcios","Urâcioasă"
32,"Supărat","Supărată"
33,"Răuț","Răuță"
34,Maniac,"Maniacă"
35,"Bine intenționat","Bine intenționată"
36,Onorabil,"Onorabilă"
37,"Neprihănit","Neprihănită"
38,Critic,"Critică"
39,Mondial,"Mondială"
40,Universal,"Universală"
41,Emo,Emo
42,Distructiv,"Distructivă"
43,Nevrozat,"Nevrozată"
44,"Pocăit","Pocăită"
45,Nebun,"Nebună"
46,"Amăgitor","Amăgitoare"
47,Plictisit,"Plictisită"
48,"Învăluitor","Învăluitoare"
49,"Zănatic","Zănatică"
50,Zurbagiu,Zurbagie
51,Chefliu,Cheflie
52,Aiurit,"Aiurită"
53,Bezmetic,"Bezmetică"
54,Indolent,"Indolentă"
55,"Nestăpânit","Nestăpânită"
56,Hippie,Hippie
57,Sobru,"Sobră"
58,"Îndrăgostit","Îndrăgostită"
59,"Amețit","Amețită"
60,Nestatornic,"Nestatornică"
